"Longitude","Latitude","Parameter.Name","Date","level"
-90.32408,39.11054,"pm25",2014-01-02,6.5
-77.10694,39.11444,"pm25",2014-01-02,15.8
-84.50404,39.12886,"pm25",2014-01-02,11.1
-121.61855,39.13877,"pm25",2014-01-02,17.6
-119.7661,39.1447,"pm25",2014-01-02,13.2
-84.53838,39.14603,"pm25",2014-01-02,16.3
-75.51806,39.155,"pm25",2014-01-02,12.7
-86.50476,39.15938,"pm25",2014-01-02,6.3
-76.62793,39.16953,"pm25",2014-01-02,17.6
-84.47898,39.19433,"pm25",2014-01-02,14.6
-84.69086,39.21494,"pm25",2014-01-02,13.5
-80.34225,39.27812,"pm25",2014-01-02,11.2
-84.36612,39.2787,"pm25",2014-01-02,12.4
-78.08157,39.28102,"pm25",2014-01-02,31.5
-76.54686,39.28777,"pm25",2014-01-02,18.7
-76.60472,39.29806,"pm25",2014-01-02,20.9
-75.7972,39.3052,"pm25",2014-01-02,15.3
-76.47444,39.31083,"pm25",2014-01-02,17.3
-81.55237,39.32353,"pm25",2014-01-02,12.4
-84.5666,39.33839,"pm25",2014-01-02,13.4
-120.17129,39.3385,"pm25",2014-01-02,12.6
-76.68538,39.34465,"pm25",2014-01-02,17.1
-77.96412,39.44801,"pm25",2014-01-02,28.7
-76.63126,39.46202,"pm25",2014-01-02,19.5
-84.39495,39.47244,"pm25",2014-01-02,16.7
-84.40767,39.47885,"pm25",2014-01-02,16.8
-87.4014,39.48615,"pm25",2014-01-02,7.65
-84.3543,39.4938,"pm25",2014-01-02,16
-119.80772,39.52508,"pm25",2014-01-02,14.2
-119.78498,39.532,"pm25",2014-01-02,18.9
